                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5402,                 3.3606,                 3.1748,                0.23287,                0.11213,                0.09231,                0.03578,                 2.6162,                 2.4123,                 2.1739,             0.00023646,             0.00023646,             0.00023646
                      2,                  1.852,                 1.5779,                 1.4405,                0.38338,                0.29135,                0.28386,                 0.1503,                 1.7348,                 1.5504,                 1.3333,             0.00042749,             0.00042749,             0.00042749
                      3,                 1.4521,                 1.1889,                 1.1711,                0.45626,                0.36505,                0.34962,                0.20928,                 1.5013,                 1.4491,                 1.1985,              0.0005714,              0.0005714,              0.0005714
                      4,                 1.2706,                0.99506,                 1.0751,                0.50593,                0.47676,                0.45836,                0.29658,                 1.2882,                 1.1243,                 1.1037,             0.00050194,             0.00050194,             0.00050194
                      5,                  1.179,                0.89814,                 1.0285,                 0.5689,                0.49431,                0.50424,                0.33664,                 1.2151,                 1.0364,                 1.0592,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.1117,                0.82585,                0.99523,                0.59141,                0.51235,                0.52203,                0.35521,                 1.1803,                 1.0308,                 1.0585,             0.00043126,             0.00043126,             0.00043126
